"Time (s)"	"Latitude (°)"	"Longitude (°)"	"Altitude (m)"	"Altitude WGS84 (m)"	"Speed (m/s)"	"Direction (°)"	"Distance (km)"	"Horizontal Accuracy (m)"	"Vertical Accuracy (m)"	"Satellites"
3.632875498E1	4.633636667E0	-7.416392667E1	2.558522396E3	2.579800000E3	0.000000000E0	1.097900009E2	1.010026292E-1	2.299999952E0	4.420000076E1	2.200000000E1
3.732875498E1	4.633631667E0	-7.416392500E1	2.557822401E3	2.579100000E3	0.000000000E0	1.097900009E2	1.015869543E-1	2.299999952E0	4.350000000E1	2.300000000E1
3.832875498E1	4.633630000E0	-7.416392000E1	2.556922410E3	2.578200000E3	0.000000000E0	1.097900009E2	1.017722792E-1	2.200000048E0	4.370000076E1	2.300000000E1
3.932875498E1	4.633628333E0	-7.416392000E1	2.556922411E3	2.578200000E3	0.000000000E0	1.097900009E2	1.023581366E-1	2.200000048E0	4.140000153E1	2.400000000E1
4.032875498E1	4.633623333E0	-7.416392167E1	2.556822411E3	2.578100000E3	0.000000000E0	1.097900009E2	1.027275750E-1	2.200000048E0	4.000000000E1	2.300000000E1
4.132875498E1	4.633623333E0	-7.416392500E1	2.556922406E3	2.578200000E3	0.000000000E0	1.097900009E2	1.029128999E-1	2.200000048E0	3.920000076E1	2.300000000E1
4.232875498E1	4.633621667E0	-7.416392500E1	2.557222407E3	2.578500000E3	0.000000000E0	1.097900009E2	1.029128999E-1	2.200000048E0	3.759999847E1	2.400000000E1
4.332875498E1	4.633621667E0	-7.416392500E1	2.557222407E3	2.578500000E3	0.000000000E0	1.097900009E2	1.029128999E-1	2.200000048E0	3.770000076E1	2.300000000E1
4.432875498E1	4.633621667E0	-7.416392500E1	2.557222407E3	2.578500000E3	0.000000000E0	1.097900009E2	1.029128999E-1	2.200000048E0	3.779999924E1	2.300000000E1
4.532875498E1	4.633621667E0	-7.416392500E1	2.557222407E3	2.578500000E3	0.000000000E0	1.097900009E2	1.029128999E-1	2.099999905E0	3.940000153E1	2.300000000E1
4.632875498E1	4.633621667E0	-7.416392500E1	2.557222407E3	2.578500000E3	0.000000000E0	1.097900009E2	1.029128999E-1	2.099999905E0	3.950000000E1	2.300000000E1
4.732875498E1	4.633621667E0	-7.416392500E1	2.557222407E3	2.578500000E3	0.000000000E0	1.097900009E2	1.029128999E-1	2.099999905E0	3.970000076E1	2.200000000E1
4.832875498E1	4.633621667E0	-7.416392500E1	2.557222407E3	2.578500000E3	0.000000000E0	1.097900009E2	1.029128999E-1	2.099999905E0	3.970000076E1	2.100000000E1
4.932875498E1	4.633621667E0	-7.416392500E1	2.557222407E3	2.578500000E3	0.000000000E0	1.097900009E2	1.029128999E-1	2.099999905E0	3.950000000E1	1.900000000E1
5.032875498E1	4.633621667E0	-7.416392500E1	2.557222407E3	2.578500000E3	0.000000000E0	1.291399994E2	1.029128999E-1	2.099999905E0	3.950000000E1	2.000000000E1
5.132875498E1	4.633621667E0	-7.416392500E1	2.557222407E3	2.578500000E3	0.000000000E0	1.291399994E2	1.029128999E-1	2.200000048E0	3.940000153E1	2.000000000E1
5.232875498E1	4.633621667E0	-7.416392500E1	2.557222407E3	2.578500000E3	0.000000000E0	1.291399994E2	1.029128999E-1	2.200000048E0	3.929999924E1	1.900000000E1
5.332875498E1	4.633621667E0	-7.416392500E1	2.557222407E3	2.578500000E3	0.000000000E0	1.291399994E2	1.029128999E-1	2.200000048E0	4.150000000E1	2.100000000E1
5.432875498E1	4.633621667E0	-7.416392500E1	2.557222407E3	2.578500000E3	0.000000000E0	1.291399994E2	1.029128999E-1	2.200000048E0	4.140000153E1	2.100000000E1
5.532875498E1	4.633621667E0	-7.416392500E1	2.557222407E3	2.578500000E3	0.000000000E0	1.291399994E2	1.029128999E-1	2.299999952E0	4.029999924E1	2.100000000E1
5.632875498E1	4.633621667E0	-7.416392500E1	2.557222407E3	2.578500000E3	0.000000000E0	1.291399994E2	1.029128999E-1	2.299999952E0	4.040000153E1	1.900000000E1
5.732875498E1	4.633621667E0	-7.416392500E1	2.557222407E3	2.578500000E3	0.000000000E0	1.291399994E2	1.049032873E-1	2.200000048E0	3.829999924E1	2.000000000E1
5.832875498E1	4.633615000E0	-7.416390833E1	2.554922436E3	2.576200000E3	0.000000000E0	1.291399994E2	1.060875821E-1	2.299999952E0	3.740000153E1	2.100000000E1
5.932875498E1	4.633621667E0	-7.416390000E1	2.555022446E3	2.576300000E3	0.000000000E0	1.291399994E2	1.078343303E-1	2.299999952E0	3.740000153E1	2.200000000E1
6.032875498E1	4.633635000E0	-7.416389167E1	2.554622452E3	2.575900000E3	0.000000000E0	1.291399994E2	1.107126014E-1	2.299999952E0	3.609999847E1	2.200000000E1
6.132875498E1	4.633653333E0	-7.416387333E1	2.554322471E3	2.575600000E3	7.633330822E-1	5.399000168E1	1.142470188E-1	2.299999952E0	3.379999924E1	2.200000000E1
6.232875498E1	4.633675000E0	-7.416385000E1	2.553922496E3	2.575200000E3	1.049518585E0	5.109999847E1	1.177814361E-1	2.299999952E0	3.390000153E1	2.200000000E1
6.332875498E1	4.633696667E0	-7.416382667E1	2.553622521E3	2.574900000E3	0.000000000E0	5.109999847E1	1.210743878E-1	2.400000095E0	3.409999847E1	2.100000000E1
6.432875498E1	4.633715000E0	-7.416380333E1	2.553222548E3	2.574500000E3	1.641449213E0	4.883000183E1	1.239636747E-1	2.400000095E0	3.429999924E1	2.100000000E1
6.532875498E1	4.633731667E0	-7.416378333E1	2.553222571E3	2.574500000E3	1.888515830E0	5.220000076E1	1.261912101E-1	2.500000000E0	3.470000076E1	2.100000000E1
6.632875498E1	4.633745000E0	-7.416376833E1	2.553222588E3	2.574500000E3	2.113449335E0	5.215999985E1	1.286808576E-1	2.500000000E0	3.500000000E1	2.100000000E1
6.732875498E1	4.633761667E0	-7.416375333E1	2.553322602E3	2.574600000E3	2.330147505E0	4.861000061E1	1.320933534E-1	2.500000000E0	3.529999924E1	2.100000000E1
6.832875498E1	4.633785000E0	-7.416373333E1	2.553722622E3	2.575000000E3	2.551992893E0	4.565000153E1	1.347099632E-1	2.400000095E0	3.509999847E1	2.100000000E1
6.932875498E1	4.633801667E0	-7.416371667E1	2.553922639E3	2.575200000E3	2.754793406E0	4.365000153E1	1.381115559E-1	2.400000095E0	3.540000153E1	2.100000000E1
7.032875498E1	4.633823333E0	-7.416369500E1	2.554022662E3	2.575300000E3	2.904577494E0	4.579999924E1	1.419083230E-1	2.500000000E0	3.579999924E1	2.100000000E1
7.132875498E1	4.633848333E0	-7.416367167E1	2.554122685E3	2.575400000E3	3.054876328E0	4.265999985E1	1.460948984E-1	2.599999905E0	3.629999924E1	2.100000000E1
7.232875498E1	4.633875000E0	-7.416364500E1	2.554222713E3	2.575500000E3	3.161423922E0	4.393999863E1	1.505431347E-1	2.700000048E0	4.009999847E1	2.100000000E1
7.332875498E1	4.633903333E0	-7.416361667E1	2.554122743E3	2.575400000E3	3.231426001E0	4.402999878E1	1.555207183E-1	3.099999905E0	3.840000153E1	2.100000000E1
7.432875498E1	4.633933333E0	-7.416358333E1	2.554522779E3	2.575800000E3	3.317384720E0	4.345000076E1	1.610595512E-1	3.099999905E0	3.859999847E1	2.100000000E1
7.532875498E1	4.633955000E0	-7.416353833E1	2.554722838E3	2.576000000E3	3.386872292E0	4.699000168E1	1.644994697E-1	3.000000000E0	3.920000076E1	2.200000000E1
7.632875498E1	4.633973333E0	-7.416351333E1	2.554622868E3	2.575900000E3	3.479522228E0	4.813000107E1	1.690700502E-1	2.799999952E0	3.670000076E1	2.200000000E1
7.732875498E1	4.633983333E0	-7.416347333E1	2.555822925E3	2.577100000E3	3.521729469E0	5.366999817E1	1.719938222E-1	2.700000048E0	3.720000076E1	2.300000000E1
7.832875498E1	4.633998333E0	-7.416345167E1	2.555822951E3	2.577100000E3	3.502684832E0	5.477999878E1	1.745091268E-1	2.799999952E0	3.629999924E1	2.100000000E1
